ID,bicycle,bus,car,e_scooter,light_rail,other,regional_train,train,walk
174,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
175,0.5800000000000001,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.02
176,0.8400000000000001,0.0,3.2199999999999998,0.0,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,12.09,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66
183,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.02
184,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0
185,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
186,0.8800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
187,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
191,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,1.3600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
193,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
195,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
201,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
202,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060000000000000005
203,0.0,1.6199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.28
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
205,0.0,0.53,0.0,0.0,0.0,0.0,11.84,0.0,0.06
206,0.0,0.9099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.38999999999999996
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
209,0.0,1.0,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.39999999999999997
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
211,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
212,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
218,0.0,0.95,0.0,0.0,0.0,0.0,19.03,0.0,0.28
219,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.03
220,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.03
221,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.8300000000000001,0.0,0.0,0.0,0.0,0.0,0.06999999999999999
223,0.0,0.0,17.52,0.0,0.0,0.0,0.0,0.0,0.0
224,0.0,0.0,1.3900000000000001,0.0,0.0,0.0,0.0,0.0,0.05
225,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.01
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
227,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.28
228,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.20000000000000004
229,0.0,0.0,0.0,0.0,0.0,0.0,6.01,0.0,0.27
230,0.38,0.0,1.7,0.0,0.0,0.0,2.08,0.0,0.16999999999999998
231,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.07999999999999999
232,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.05
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
235,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.26
236,0.12,0.0,0.0,0.0,0.0,0.0,17.259999999999998,0.0,0.03
237,0.0,0.1,0.0,0.0,0.0,0.0,15.71,0.0,0.01
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
241,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.04
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
243,0.0,0.0,1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0
244,0.0,0.27,24.2,0.0,0.0,0.0,0.0,0.0,0.1
245,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.23
246,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.03
247,0.0,0.24000000000000002,0.0,0.0,0.0,0.0,33.73,0.0,0.12
248,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
249,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.1
250,0.0,0.0,7.23,0.0,0.0,0.0,0.0,0.0,0.0
251,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999998
252,0.0,0.0,0.0,0.0,25.06,0.0,0.0,0.0,0.06
253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
254,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.09
255,0.0,0.0,0.0,0.0,0.0,0.0,9.309999999999999,0.0,0.27
256,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.03
257,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03
258,0.0,0.0,0.0,0.0,0.0,0.0,8.97,0.0,0.4
259,0.0,0.0,0.0,0.0,0.0,0.0,8.95,0.0,0.14
260,0.0,0.0,12.46,0.0,0.0,0.0,0.0,0.0,0.21
261,0.06,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.55
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
263,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.4600000000000001
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999
